package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.example.seniorshield.core.designsystem.component.PrimaryButton,PrimaryButton,1,1,1,0,0,0,0,0,1,4,
com.example.seniorshield.core.designsystem.component.SecondaryButton,SecondaryButton,1,1,1,0,0,0,0,0,1,4,
com.example.seniorshield.core.designsystem.component.BasicTextButton,BasicTextButton,1,1,1,0,0,0,0,0,1,3,
com.example.seniorshield.core.designsystem.component.ButtonsPreview,ButtonsPreview,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.core.designsystem.component.dpadFocusHighlight,dpadFocusHighlight,1,0,0,0,0,0,0,0,1,2,
com.example.seniorshield.core.designsystem.component.PermissionStatusItem,PermissionStatusItem,1,1,1,0,0,0,0,0,1,2,
com.example.seniorshield.core.designsystem.component.SeniorShieldScaffold,SeniorShieldScaffold,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.core.designsystem.component.StatusCard,StatusCard,1,1,1,0,0,0,0,0,1,2,
com.example.seniorshield.core.designsystem.component.StatusCardPreview,StatusCardPreview,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.core.designsystem.theme.SeniorShieldTheme,SeniorShieldTheme,1,1,1,0,0,0,1,0,2,2,
com.example.seniorshield.core.navigation.SeniorShieldNavGraph,SeniorShieldNavGraph,1,0,1,0,0,0,0,0,1,3,
com.example.seniorshield.feature.guardian.GuardianAddContent,GuardianAddContent,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.guardian.GuardianContent,GuardianContent,1,0,1,0,0,0,0,0,1,2,
com.example.seniorshield.feature.guardian.GuardianCard,GuardianCard,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.guardian.SmsGuardianPickerDialog,SmsGuardianPickerDialog,1,0,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.history.HistoryContent,HistoryContent,1,0,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.history.HistoryScreenPreview,HistoryScreenPreview,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.home.HomeContent,HomeContent,1,1,1,0,0,0,0,0,1,3,
com.example.seniorshield.feature.home.GuardianContactDialog,GuardianContactDialog,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.home.GuardedSessionCard,GuardedSessionCard,1,1,1,0,0,0,0,0,1,3,
com.example.seniorshield.feature.home.WeeklyTipCard,WeeklyTipCard,1,1,1,0,0,0,0,0,1,2,
com.example.seniorshield.feature.home.PermissionsWarningBanner,PermissionsWarningBanner,1,1,1,0,0,0,0,0,1,3,
com.example.seniorshield.feature.home.SettingsListItem,SettingsListItem,1,1,1,0,0,0,0,0,2,3,
com.example.seniorshield.feature.home.HomeScreenPreview,HomeScreenPreview,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.onboarding.OnboardingContent,OnboardingContent,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.onboarding.OnboardingScreenPreview,OnboardingScreenPreview,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.permissions.PermissionsContent,PermissionsContent,1,0,1,0,0,0,0,0,1,3,
com.example.seniorshield.feature.policy.PolicyContent,PolicyContent,1,0,1,0,0,0,0,0,1,1,
